,species,scenario,julian,hour,Tpref_mean,Rabs_sun,Rabs_shade,Te_sun,Te_shade,Tb_sun,Tb_shade,activity_status_5C,activity_status_25C,activity_status_skewed_5C,activity_status_skewed_10C,ro,rcm,growth_k,growth_linf
120,Sceloporus undulatus,undulatus_kansas,1.0,0.0,35,217.80286378239094,207.09038525172653,6.350118434770738,4.12719054131307,5.9871627295979115,4.361830084334361,[0.0],[0.0],[0.0],[0.0],,0.27,,
121,Sceloporus undulatus,undulatus_kansas,1.0,60.0,35,375.48607684504987,218.50279995766502,14.706390750553489,14.779747615323185,12.362378941362845,11.97907286967801,[0.0],[0.0],[0.0],[0.0],,0.27,,
122,Sceloporus undulatus garmani,undulatus_garmani_nebraska,1.0,0.0,35,202.67766288285046,197.3260596873347,1.5493857731948353,0.3945882766859512,2.232032159155028,1.3056920576756519,[0.0],[0.0],[0.0],[0.0],,0.33,,
123,Sceloporus undulatus garmani,undulatus_garmani_nebraska,1.0,60.0,35,344.41740224366026,204.53457266796445,8.757106650022621,9.4043136658717,7.090697410794789,7.336043350828347,[0.0],[0.0],[0.0],[0.0],,0.33,,
124,Sceloporus undulatus,undulatus_georgia,1.0,0.0,35,260.5037905201772,252.83192199252997,18.72806486311055,17.24327173185053,14.34205684460024,13.33164336148969,[0.0],[0.0],[0.0],[0.0],,0.22,,
125,Sceloporus undulatus,undulatus_georgia,1.0,60.0,35,464.85798494776503,261.5716094757629,29.52473439976319,29.970499266652713,24.67398914444738,24.65451655921473,[0.0],[0.0],[0.0],[0.0],,0.22,,
126,Tropidurus nanuzae,nanuzae_brazil,1.0,0.0,35,321.71141048291673,327.7240170447171,31.5098196234012,32.50406656726627,26.435954342614167,27.23990670429534,[0.0],[0.0],[0.0],[0.0],,0.24,,
127,Tropidurus nanuzae,nanuzae_brazil,1.0,60.0,35,588.2772650164133,334.0454951493635,43.53308679105269,45.73996362685908,40.26076928895345,42.19913242372557,[0.0],[0.0],[0.0],[0.0],,0.24,,
128,Carlia rubrigularis,rubrigularis_queensland,1.0,0.0,35,108.10939700027903,100.23859264492579,-26.808353524995557,-30.02795979474434,-21.003125266291775,-23.635132769434858,[0.0],[0.0],[0.0],[0.0],,0.26,,
129,Carlia rubrigularis,rubrigularis_queensland,1.0,60.0,35,373.3012867050273,128.9947503902843,-13.14575129623828,-4.643204105242134,-15.044390921632997,-9.23237454080186,[0.0],[0.0],[0.0],[0.0],,0.26,,
130,Phrynocephalus przewalskii,przewalskii_Alax_Zuoqi_China,1.0,0.0,35,186.1924269550561,175.85449237468336,-3.092752398352003,-5.719371881217162,-1.6530800059269306,-3.8124330547347665,[0.0],[0.0],[0.0],[0.0],,0.40700000000000003,,
131,Phrynocephalus przewalskii,przewalskii_Alax_Zuoqi_China,1.0,60.0,35,357.63263146450237,190.74411765584748,5.595847752087401,6.949775225831724,3.874539858014762,4.394214639576479,[0.0],[0.0],[0.0],[0.0],,0.40700000000000003,,
132,Phrynocephalus przewalskii,przewalskii_Alax2_China,1.0,0.0,35,180.15971943778592,171.15373765853053,-5.073847970060919,-7.390355184422797,-3.181181686655905,-5.062465428029368,[0.0],[0.0],[0.0],[0.0],,0.35,,
133,Phrynocephalus przewalskii,przewalskii_Alax2_China,1.0,60.0,35,339.65940231141644,185.38354713106395,3.069748866610901,4.651844346470691,1.5290004832329032,2.257431714119182,[0.0],[0.0],[0.0],[0.0],,0.35,,
134,Phrynocephalus przewalskii,przewalskii_shandan,1.0,0.0,35,163.42463079830634,158.08732765063064,-10.914740661250885,-12.344639861200761,-7.705518232512881,-8.847076913381185,[0.0],[0.0],[0.0],[0.0],,0.53,,
135,Phrynocephalus przewalskii,przewalskii_shandan,1.0,60.0,35,336.11648391571657,169.73374179529372,-1.8881353202303295,0.07083762292642604,-3.393533291432874,-2.236902928580028,[0.0],[0.0],[0.0],[0.0],,0.53,,
